"cliente","oficina","ingresos","viviendatipo","viviendavalor","estadocivil","lineasdevale","montosdelineas","dependientes","fechanacimiento","default"
"1000181","10","11099","propia","700000","soltero","1","42000","2","20151007 ","1"
"1000276","10","31000","familiar","250000","casado","1","55000","1","19701019","0"
"1000329","10","46000","familiar","200000","casado","0","0","2","19730920","0"
"1000885","10","4862","propia","350000","casado","0","0","2","19800914","1"
"1000903","10","22000","familiar","55000","casado","2","91476","3","19761010","1"
"1001147","10","42400","familiar","250000","soltero","1","35000","3","19921006","0"
"1001247","10","0","familiar","200000","casado","1","45000","0","19700711","1"
"1001282","10","29000","propia","800000","soltero","4","972000","2","19810718","0"
"1001303","10","34752.17","propia","900000","soltero","0","0","3","19800112","0"
"1001414","10","20000","familiar","1200000","union_libre","3","681000","1","19730310","1"
"1001569","10","46000","familiar","1900000","union_libre","0","0","2","19750322","1"
"1001622","10","0","familiar","200000","union_libre","2","182000","3","19871017","0"
"1001803","10","47907","familiar","250000","union_libre","1","80000","2","19661108","0"
"1002017","10","33882","propia","1000000","casado","1","0","0","19700620","0"
"1002020","10","50922","familiar","552000","casado","1","245000","2","19000828 ","1"
"1002242","10","37885","familiar","1100000","soltero","0","0","0","20200129 ","0"
"1002287","10","11536","propia","200000","soltero","0","0","0","19880925","0"
"1002325","10","9172","propia","500000","union_libre","0","0","0","19590821","0"
"1002479","10","0","propia","200000","casado","0","0","0","19670502","0"
"1002529","10","20000","familiar","250000","soltero","1","230000","3","19710528","0"
"1002530","10","0","propia","800000","casado","1","195300","2","19680114","1"
"1002532","10","0","propia","1600000","soltero","1","80000","3","19711120","0"
"1002547","10","0","propia","500000","casado","1","80000","3","19740621","0"
"1002549","10","0","propia","200000","soltero","1","60000","0","19711025","1"
"1002592","10","8370","","200000","casado","1","75000","3","19731203","0"
"1002600","10","35931","familiar","250000","casado","1","110161","1","19690715","0"
"1002606","10","5102","familiar","800000","casado","0","0","1","19650914","0"
"1002607","10","0","","300000","casado","1","50000","3","19670919","0"
"1002633","10","25000","familiar","700000","soltero","0","0","2","19681230","1"
"1002675","10","10322","familiar","600000","union_libre","0","0","1","19760710","1"
"1002685","10","5334","familiar","200000","casado","1","60000","3","19860625","1"
"1002708","10","21944","familiar","200000","union_libre","0","0","1","19890803","0"
"1002727","10","0","familiar","200000","casado","0","0","4","19780908","0"
"1002728","10","7374","familiar","1000000","soltero","0","0","0","19540917","0"
"1002729","10","49000","familiar","700000","casado","1","60000","1","19630423","0"
"1002742","10","0","familiar","700000","casado","1","40000","2","19701108","0"
"1002760","10","8460","familiar","200000","soltero","0","0","3","19750924","0"
"1002789","10","10000","","200000","soltero","0","0","2","19810810","0"
"1002790","10","13000","familiar","200000","casado","2","420000","2","19680706","0"
"1002791","10","0","familiar","200000","casado","1","213932.42","3","19750330","0"
"1002808","10","55908","familiar","250000","casado","2","108835","2","19670716","0"
"1002809","10","55000","familiar","600000","casado","3","799400","1","19740127","0"
"1002824","10","27000","familiar","620000","casado","0","0","3","19810329","0"
"1002832","10","28000","familiar","360000","casado","1","70000","1","19721226","0"
"1002907","10","71000","familiar","200000","union_libre","4","650000","0","19740521","0"
"1002937","10","28000","","200000","casado","0","0","2","19700727","0"
"1002938","10","12000","familiar","750000","casado","1","60000","1","19661112","0"
"1002958","21","8416","","250000","union_libre","0","0","1","19860509","0"
"1003022","10","0","Familiar","489000","casado","2","115000","2","19860615","0"
"1003023","10","10000","familiar","200000","union_libre","0","0","0","19681019","0"
"1003034","10","0","familiar","250000","casado","0","0","2","19790419","0"
"1003035","10","0","familiar","800000","casado","1","44668","1000","19570707","1"
"1003036","10","2000","familiar","438000","casado","0","0","2","19781214","0"
"1003037","10","11224","","800000","union_libre","0","0","0","19780721","0"
"1003047","10","25838","familiar","250000","casado","2","57350","5","19910526","1"
"1003067","10","0","familiar","2000000","casado","1","70000","3","19800327","0"
"1003089","10","12400","","250000","union_libre","0","0","0","19890112","0"
"1003096","10","29000","familiar","250000","casado","0","0","3","19791120","0"
"1003100","10","0","","415000","casado","0","0","1","19940518","0"
"1003130","10","28304","familiar","700000","soltero","0","0","2","19861025","0"
"1003150","10","0","familiar","2000000","casado","3","323672","0","19670529","0"
"1003152","10","0","propia","1020000","union_libre","1","144000","0","19770906","0"
"1003153","10","8000","familiar","280000","union_libre","2","45000","3","19850506","0"
"1003183","10","0","familiar","600000","casado","2","139000","2","19710311","0"
"1003189","10","0","familiar","1000000","union_libre","1","70000","2","19820531","0"
"1003192","10","0","familiar","250000","union_libre","0","0","1","19781223","0"
"1003242","10","0","familiar","2500000","casado","3","729000","3","19810921","0"
"1003262","10","0","familiar","550000","casado","3","134254","3","19810430","0"
"1003289","10","0","propia","750000","casado","1","70000","2","19700721","0"
"1003311","10","0","familiar","250000","casado","0","0","3","19810825","0"
"1003316","10","0","familiar","250000","union_libre","2","100000","1","19930920","1"
"1003356","10","13431","familiar","250000","casado","0","0","2","19711020","1"
"1003366","10","0","familiar","565000","casado","1","236000","2","19890114","0"
"1003381","10","0","familiar","250000","soltero","2","168766","1","19691112","0"
"1003436","10","8000","","300000","casado","1","70000","2","19790129","1"
"1003443","10","22000","familiar","300000","casado","1","43160","1","19601122","0"
"1003557","10","27500","familiar","250000","casado","2","43512","1","19950310","0"
"1003568","10","32568","familiar","500000","soltero","1","63000","0","19851205","1"
"1003674","39","21000","familiar","750000","Soltero","1","105000","2","19771230","1"
"1003681","10","27000","familiar","250000","soltero","0","0","1","19660517","0"
"1003698","39","26000","familiar","250000","union_libre","0","0","3","19860707","1"
"1003734","10","8000","propia","250000","soltero","2","247000","1","19681107","0"
"1003735","10","15600","","420000","soltero","0","0","1","19850623","1"
"1003736","10","10200","familiar","250000","union_libre","1","39000","3","19800330","0"
"1003776","10","22200","familiar","350000","casado","1","93553.03","1","19690206","0"
"1003777","10","20000","familiar","250000","casado","3","394500","2","19720913","1"
"1003787","10","34000","familiar","250000","casado","2","188220","0","19680412","1"
"1003823","39","27000","familiar","250000","casado","4","2132500","1","19700205","1"
"1003850","10","35000","familiar","250000","casado","2","291000","0","19711016","0"
"1003872","10","41000","familiar","250000","casado","1","203898.95","1","19710323","0"
"1003883","10","18000","familiar","250000","casado","1","59000","0","19660726","1"
"1003884","10","23000","familiar","400000","casado","1","67000","3","19791026","0"
"1003885","10","46000","familiar","250000","casado","3","256727.45","2","19650801","0"
"1003886","10","19400","familiar","1000000","casado","1","101874.15","0","19581231","0"
"1003897","10","20000","familiar","500000","unión libre","2","100000","1","19800119","1"
"1003913","10","30600","familiar","700000","casado","4","800195","3","19670317","0"
"1003940","10","25500","familiar","250000","union_libre","2","135000","1","19840624","0"
"1003941","10","17500","propia","250000","union_libre","3","87500","1","19051229 ","1"
"1003989","10","20500","familiar","700000","casado","1","73327","1","19770523","0"
"1004023","10","36000","familiar","800000","union_libre","0","0","1","19720715","0"
"1004070","39","34000","familiar","800000","soltero","1","210000","0","19710122","1"
"1004093","10","60000","familiar","900000","union_libre","3","638661","3","19761213","1"
"1004094","10","27200","familiar","600000","casado","4","413382","1","19860321","1"
"1004103","10","32000","familiar","400000","union_libre","1","45000","0","19730611","1"
"1004184","39","27900","propia","700000","casado","2","98000","2","19821008","1"
"1004201","10","30800","familiar","250000","union_libre","2","108000","2","19771112","1"
"1004208","10","19500","familiar","1000000","union_libre","1","391000","3","19750303","1"
"1004259","10","24000","propia","500000","soltero","0","0","2","19840126","1"
"1004266","10","31000","familiar","250000","casado","2","105000","2","19790628","0"
"1004280","10","42500","propia","500000","soltero","0","0","3","19610820","1"
"1004296","10","27345","propia","600000","casado","0","0","2","19771223","0"
"1004364","10","12000","familiar","250000","soltero","0","0","1","19800326","0"
"1004366","10","20000","familiar","250000","casado","0","0","2","19810509","1"
"1004415","10","22500","propia","600000","casado","4","331525","3","19721005","0"
"1004424","10","64000","familiar","250000","union_libre","4","1421159","0","19601209","0"
"1004456","10","38000","familiar","250000","soltero","2","231012","1","19680923","0"
"1004457","10","34000","familiar","250000","soltero","0","0","0","19770610","1"
"1004458","10","28000","familiar","250000","union_libre","0","0","1","19740910","0"
"1004459","10","48000","propia","750000","soltero","4","1344028","0","19720720","1"
"1004462","10","24000","Familiar","250000","casado","2","498179","1","19661001","0"
"1004479","10","48400","familiar","250000","union_libre","4","906000","2","19731220","0"
"1004496","10","26965","familiar","640000","casado","0","0","2","19930125","1"
"1004511","10","16000","familiar","250000","union_libre","1","29159.86","1","19720914","1"
"1004515","10","45000","familiar","2000000","casado","1","40000","2","19850719","1"
"1004552","10","17000","propia","460000","casado","0","0","2","19880912","0"
"1004571","10","20300","propia","470000","casado","0","0","3","19850110","0"
"1004604","10","37540","familiar","3000000","soltero","0","0","2","19710327","0"
"1004686","10","109698","propia","700000","casado","1","50565.5","3","19830816","1"
"1004689","10","24696","familiar","250000","soltero","2","88000","0","19560101","1"
"1004722","10","42760","propia","250000","casado","1","150000","2","19840904","1"
"1004738","10","40000","familiar","250000","casado","0","0","3","19890124","1"
"1004940","10","25811","familiar","250000","union_libre","0","0","1","19911109","1"
"1004985","10","20400","propia","360000","casado","0","0","2","19770104","1"
"1005002","10","28000","Familiar","1250000","union_libre","2","181153","2","19811217","0"
"1005046","10","29000","familiar","900000","casado","3","342464","1","19761211","0"
"1005054","10","48147","familiar","300000","casado","1","0","0","19701023","1"
"1005080","10","34540","propia","800000","soltero","2","216110","6","19810402","0"
"1005125","10","45122","propia","1500000","casado","2","187612","3","19880229","0"
"1005182","10","22769","familiar","250000","union_libre","2","192070","0","19680921","0"
"1005197","10","55600","familiar","250000","casado","2","251075","1","19691004","0"
"1005198","10","31927","propia","1500000","casado","3","342761","3","19820814","0"
